%CPU;%MEM;MB_rd/s;MB_wr/s
12.41;0.13;0;0
12.53;0.13;0;0
12.53;0.13;0;0
12.38;0.13;0;0
12.45;0.13;0;0
12.53;0.14;0;0
12.50;0.14;0;0
12.52;0.14;0;0
12.55;0.14;0;0
12.52;0.14;0;0
12.42;0.14;0;0
12.58;0.15;0;0
12.55;0.15;0;0
12.42;0.15;0;0
12.55;0.15;0;0
12.56;0.15;0;0
12.45;0.15;0;0
12.63;0.15;0;0
12.47;0.15;0;0
12.47;0.15;0;0
12.58;0.15;0;0
12.52;0.15;0;0
12.53;0.15;0;0
12.55;0.15;0;0
12.52;0.15;0;0
12.41;0.15;0;0
12.52;0.15;0;0
12.52;0.15;0;0
12.53;0.15;0;0
12.53;0.15;0;0
12.61;0.15;0;0
12.53;0.12;0;3.27734
